State,Latitude,Longitude
Alabama,32.361538,-86.279118
Arizona,33.448457,-112.073844
Arkansas,34.736009,-92.331122
California,38.555605,-121.468926
Colorado,39.7391667,-104.984167
Connecticut,41.767,-72.677
Delaware,39.161921,-75.526755
Florida,30.4518,-84.27277
Georgia,33.76,-84.39
Hawaii,21.30895,-157.826182
Idaho,43.613739,-116.237651
Illinois,39.783250,-89.650373
Indiana,39.790942,-86.147685
Iowa,41.590939,-93.620866
Kansas,39.04,-95.69
Kentucky,38.197274,-84.86311
Louisiana,30.45809,-91.140229
Maine,44.323535,-69.765261
Maryland,38.972945,-76.501157
Massachusetts,42.2352,-71.0275
Michigan,42.7335,-84.5467
Minnesota,44.95,-93.094
Mississippi,32.320,-90.207
Missouri,38.572954,-92.189283
Montana,46.595805,-112.027031
Nebraska,40.809868,-96.675345
Nevada,39.160949,-119.753877
New Hampshire,43.220093,-71.549127
New Jersey,40.221741,-74.756138
New Mexico,35.667231,-105.964575
New York,42.659829,-73.781339
North Carolina,35.771,-78.638
North Dakota,48.813343,-100.779004
Ohio,39.962245,-83.000647
Oklahoma,35.482309,-97.534994
Oregon,44.931109,-123.029159
Pennsylvania,40.269789,-76.875613
Rhode Island,41.82355,-71.422132
South Carolina,34.000,-81.035
South Dakota,44.367966,-100.336378
Tennessee,36.165,-86.784
Texas,30.266667,-97.75
Salt Lake City,40.7547,-111.892622
Vermont,44.26639,-72.57194
Virginia,37.54,-77.46
Washington,47.042418,-122.893077
West Virginia,38.349497,-81.633294
Wisconsin,43.074722,-89.384444
Wyoming,41.145548,-104.802042